N19-1001 179
N19-1002 1465
N19-1003 1495
N19-1004 1768
N19-1005 2241
N19-1006 202
N19-1007 1507
N19-1008 1870
N19-1009 1998
N19-1010 2189
N19-1011 132
N19-1012 1498
N19-1013 886
N19-1014 1182
N19-1015 296
N19-1016 333
N19-1017 370
N19-1018 699
N19-1019 1005
N19-1020 2066
N19-1021 1478
N19-1022 1683
N19-1023 1730
N19-1024 1791
N19-1025 2151
N19-1026 584
N19-1027 633
N19-1028 696
N19-1029 758
N19-1030 829
N19-1031 846
N19-1032 995
N19-1033 173
N19-1034 221
N19-1035 455
N19-1036 641
N19-1037 1093
N19-1038 1460
N19-1039 2023
N19-1040 2261
N19-1041 514
N19-1042 782
N19-1043 830
N19-1044 839
N19-1045 894
N19-1046 1019
N19-1047 287
N19-1048 747
N19-1049 813
N19-1050 1310
N19-1051 1541
N19-1052 1771
N19-1053 1896
N19-1054 1589
N19-1055 1658
N19-1056 1734
N19-1057 1936
N19-1058 2085
N19-1059 2308
N19-1060 640
N19-1061 1172
N19-1062 1450
N19-1063 2098
N19-1064 2117
N19-1065 1490
N19-1066 178
N19-1067 1358
N19-1068 1404
N19-1069 334
N19-1070 790
N19-1071 1346
N19-1072 1638
N19-1073 1820
N19-1074 2310
N19-1075 110
N19-1076 704
N19-1077 1081
N19-1078 1754
N19-1079 1969
N19-1080 126
N19-1081 367
N19-1082 569
N19-1083 1718
N19-1084 2074
N19-1085 2076
N19-1086 2294
N19-1087 2335
N19-1088 2052
N19-1089 2119
N19-1090 2184
N19-1091 2291
N19-1092 2358
N19-1093 526
N19-1094 642
N19-1095 1128
N19-1096 1203
N19-1097 1263
N19-1098 1462
N19-1099 1492
N19-1100 1721
N19-1101 2387
N19-1102 2424
N19-1103 676
N19-1104 961
N19-1105 1282
N19-1106 2273
N19-1107 2372
N19-1108 181
N19-1109 787
N19-1110 1579
N19-1111 1868
N19-1112 2049
N19-1113 239
N19-1114 503
N19-1115 729
N19-1116 862
N19-1117 1623
N19-1118 247
N19-1119 2062
N19-1120 1655
N19-1121 1953
N19-1122 1006
N19-1123 543
N19-1124 555
N19-1125 2208
N19-1126 2314
N19-1127 459
N19-1128 464
N19-1129 1434
N19-1130 1760
N19-1131 1907
N19-1132 2251
N19-1133 2337
N19-1134 101
N19-1135 591
N19-1136 655
N19-1137 754
N19-1138 1010
N19-1139 1265
N19-1140 1269
N19-1141 1410
N19-1142 1499
N19-1143 1512
N19-1144 1873
N19-1145 152
N19-1146 161
N19-1147 232
N19-1148 279
N19-1149 317
N19-1150 384
N19-1151 1938
N19-1152 2435
N19-1153 303
N19-1154 658
N19-1155 805
N19-1156 1257
N19-1157 2348
N19-1158 231
N19-1159 994
N19-1160 1044
N19-1161 1933
N19-1162 2113
N19-1163 321
N19-1164 449
N19-1165 1200
N19-1166 1616
N19-1167 1962
N19-1168 1297
N19-1169 1807
N19-1170 1909
N19-1171 1923
N19-1172 2045
N19-1173 348
N19-1174 493
N19-1175 1443
N19-1176 1445
N19-1177 1615
N19-1178 1634
N19-1179 2180
N19-1180 1272
N19-1181 1274
N19-1182 1321
N19-1183 1537
N19-1184 1885
N19-1185 2412
N19-1186 1242
N19-1187 1633
N19-1188 1657
N19-1189 1790
N19-1190 2010
N19-1191 2060
N19-1192 2460
N19-1193 607
N19-1194 723
N19-1195 730
N19-1196 1299
N19-1197 1467
N19-1198 2216
N19-1199 495
N19-1200 1331
N19-1201 1338
N19-1202 1412
N19-1203 1520
N19-1204 1668
N19-1205 325
N19-1206 1534
N19-1207 1614
N19-1208 1739
N19-1209 1956
N19-1210 1381
N19-1211 617
N19-1212 133
N19-1213 1570
N19-1214 1815
N19-1215 2454
N19-1216 590
N19-1217 2379
N19-1218 1603
N19-1219 1617
N19-1220 1903
N19-1221 1363
N19-1222 465
N19-1223 1399
N19-1224 1456
N19-1225 1951
N19-1226 117
N19-1227 242
N19-1228 487
N19-1229 548
N19-1230 707
N19-1231 856
N19-1232 900
N19-1233 114
N19-1234 843
N19-1235 1409
N19-1236 1620
N19-1237 1874
N19-1238 1958
N19-1239 1354
N19-1240 1485
N19-1241 1588
N19-1242 1595
N19-1243 1741
N19-1244 1889
N19-1245 2084
N19-1246 2203
N19-1247 1283
N19-1248 1344
N19-1249 1349
N19-1250 1459
N19-1251 1682
N19-1252 1894
N19-1253 1922
N19-1254 2163
N19-1255 234
N19-1256 883
